,RUNDATE,FY,FM,DOCID,CHKSUBTOT,VCODE,VENDOR,ZIP5,FTYP,FUNDTYPE,DPT,DEPARTMENT,ACTV,ACTIVITY,OGRP,OBJECTGROUP,OBJ,OBJECT,COMM,COMMODITYDSCR,INVOICEDATE,INVOICENUMBER
105118,2024-10-28,2025,1,EFT-BMS-EY250004835,343745.75,VS0000066926,"Ricondo & Associates, Inc.",60673,AVIC,Aviation Capital Program,AVI,Aviation,AAIP,Airport Improvements,QV,Contractual & Other Services,3070,Professional Services,91800.0,CONSULTING SERVICES,,
105156,2024-10-28,2025,1,EFT-BMS-EY250004873,1214829.1,VS100981,"Crescent Constructors, Inc.",75074,SWRC,Sewer Capital Program,DWU,Water Utilities,WWTP,Wastewater Treatment Plants And Associated Facilities,RC,Capital Outlay,4330,Sewage Disposal Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
105160,2024-10-28,2025,1,EFT-BMS-EY250004877,433768.54,VS88417,"Hi-Lite Airfield Services, Llc",13601,EFOP,Enterprise Operating Fund,AVI,Aviation,AV13,DAL LANDSCAPE,QV,Contractual & Other Services,3210,Repair&Maint Ser Bldg Etc,91364.0,"MAINTENANCE AND REPAIR: AIRPORT ROADWAY, RUNWAY AND TAXIWAY",,
105171,2024-10-28,2025,1,EFT-BMS-EY250004886,881578.66,VS90299,Southland Mole Joint Venture,76262,BP12,2012 General Obligation Bond Program,TWM,Trinity Watershed Management,SDRS,Storm Drainage Relief System,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
105188,2024-10-28,2025,1,EFT-BMS-EY250004903,345800.0,VS98529,Joel Brown & Co. Llc,75204,BP17,2017 General Obligation Bond Program,PKR,Park & Recreation,RFSI,Recreation Facilities Site Improvement,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
105229,2024-10-28,2025,1,EFT-BMS-EY250004944,1631820.62,244607,Oscar Renda Contracting Inc,76262,WTRC,Water Capital Program,DWU,Water Utilities,WTPF,Water Treatment Plants And Associated Facilities,RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
105244,2024-10-28,2025,1,EFT-BMS-EY250004959,2422500.0,VS0000056543,Southland Contracting Inc.,76051,WTRC,Water Capital Program,DWU,Water Utilities,WTRS,Water Supply Reservoirs And Dams,RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
105441,2024-10-29,2025,1,EFT-BMS-EY250005075,762831.66,507202,"Syb Construction Co., Inc. ^",75061,BP17,2017 General Obligation Bond Program,SDM,Stormwater Drainage Management,ERCT,Erosion Control,RC,Capital Outlay,4599,Other Improvements-other than Building,91345.0,"CONSTRUCTION, SEWER AND STORM DRAIN",,
105760,2024-10-29,2025,1,EFT-BMS-EY250005369,429048.0,VS87197,Town Square Title Company Llc,75088,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4210,Property Purchase Price,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
105979,2024-10-29,2025,1,EFT-BMS-EY250005577,1500000.0,VS0000004959,Dallas Center For The Performing Arts Foundation Inc,75201,GNFD,General Fund,OCA,Office Of Cultural Affairs,CULF,Cultural Facilities,QV,Contractual & Other Services,3099,Misc Special Services,95224.0,CULTURAL ADMINISTRATION AND PROMOTION SERVICES,,
106080,2024-10-30,2025,1,EFT-BMS-EY250005637,1513446.48,243551,Rebcon Llc,76011,WTRC,Water Capital Program,DWU,Water Utilities,WTRS,Water Supply Reservoirs And Dams,RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
106200,2024-10-30,2025,1,EFT-BMS-EY250005756,371422.01,VC25263,"Xit Paving And Construction, Inc.",75165,BP17,2017 General Obligation Bond Program,PBW,Public Works & Transporation,THRF,Thoroughfares,RC,Capital Outlay,4510,Strts Roadwys Hiwy Alleys,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
106329,2024-10-30,2025,1,EFT-BMS-EY250005885,993393.59,VS0000064407,"Archer Western Construction, Llc",75038,WTRC,Water Capital Program,DWU,Water Utilities,WTPF,Water Treatment Plants And Associated Facilities,RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
106330,2024-10-30,2025,1,EFT-BMS-EY250005886,822220.79,VS0000064407,"Archer Western Construction, Llc",75038,WTRC,Water Capital Program,DWU,Water Utilities,RWPT,Raw Water Pumping And Transmission,RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
106389,2024-10-30,2025,1,EFT-BMS-EY250005936,410388.55,VS97685,"All City Management Services, Inc.",90084,GNFD,General Fund,MSH,City Marshal's Office,3065,Security Services,QV,Contractual & Other Services,3070,Professional Services,92471.0,SCHOOL OPERATION AND MANAGEMENT SERVICES,,
106708,2024-10-31,2025,1,EFT-BMS-EY250006219,333236.03,VC22277,"Western Municipal Construction Of Texas, Llc",76247,CVID,COVID-19,DWU,Water Utilities,DW01,Water Treatment,RC,Capital Outlay,4560,Sanitary Sewers,,NONE,,
107185,2024-11-01,2025,2,EFT-BMS-EY250006590,358857.42,516612,Deloitte Consulting Llp,22209,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS21,Internal Application Services,QV,Contractual & Other Services,3441,IT Managed Services,91800.0,CONSULTING SERVICES,,
107219,2024-11-01,2025,2,EFT-BMS-EY250006623,365498.98,VC20712,Reliance Environmental Truck Sales Llc,78109,EFOP,Enterprise Operating Fund,AVI,Aviation,AV06,Field Maintenance,RC,Capital Outlay,4890,Miscellaneous Equipment Cap,91300.0,"CONSTRUCTION SERVICES, HEAVY",,
107924,2024-11-05,2025,2,AD-BMS-AY250001935,427656.78,VS0000063006,"Texas Capital Bank, N.A.",75201,OTGO,Other GO CIP - Non-Debt,ECO,Office Of Economic Development,CWTD,Cypress Waters TIF District,RC,Capital Outlay,4310,Buildings,96100.0,"MISCELLANEOUS SERVICES, NO. 1",,
107963,2024-11-05,2025,2,EFT-BMS-EY250007226,672355.0,125824,Bar Constructors Inc ^,75146,SWRC,Sewer Capital Program,DWU,Water Utilities,RELP,Relocations In Advance Of Paving,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
108011,2024-11-05,2025,2,EFT-BMS-EY250007269,587910.96,347200,"Freese And Nichols, Inc.",75204,WTRC,Water Capital Program,DWU,Water Utilities,WTPF,Water Treatment Plants And Associated Facilities,RC,Capital Outlay,4111,Engineering Design,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
108040,2024-11-05,2025,2,EFT-BMS-EY250007290,3722338.14,VC0000008212,Dallas Zoo Management Inc,75203,GNFD,General Fund,PKR,Park & Recreation,PK04,Fair Park Management And Promotion,QV,Contractual & Other Services,3072,Contractor Service Fees,,NONE,,
108093,2024-11-05,2025,2,EFT-BMS-EY250007337,1885625.0,VS0000009713,Carahsoft Technology Corp,20190,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS21,Internal Application Services,QV,Contractual & Other Services,3440,IT Cloud Services,95635.0,INTERNET DATABASE SUBSCRIPTIONS,,
108163,2024-11-05,2025,2,EFT-BMS-EY250007397,376500.0,VS90252,"Siddons Martin Emergency Group, Llc",77032,CVID,COVID-19,DFD,Dallas Fire Department,DF08,Fire And Rescue Equipment Maintenance,RC,Capital Outlay,4740,Motor Vehicles Cap,7003.0,AMBULANCES AND RESCUE VEHICLES,,
108164,2024-11-05,2025,2,EFT-BMS-EY250007398,376500.0,VS90252,"Siddons Martin Emergency Group, Llc",77032,CVID,COVID-19,DFD,Dallas Fire Department,DF08,Fire And Rescue Equipment Maintenance,RC,Capital Outlay,4740,Motor Vehicles Cap,7003.0,AMBULANCES AND RESCUE VEHICLES,,
108165,2024-11-05,2025,2,EFT-BMS-EY250007399,376500.0,VS90252,"Siddons Martin Emergency Group, Llc",77032,CVID,COVID-19,DFD,Dallas Fire Department,DF08,Fire And Rescue Equipment Maintenance,RC,Capital Outlay,4740,Motor Vehicles Cap,7003.0,AMBULANCES AND RESCUE VEHICLES,,
108176,2024-11-05,2025,2,EFT-BMS-EY250007406,459587.2,VS97685,"All City Management Services, Inc.",90084,GNFD,General Fund,MSH,City Marshal's Office,3065,Security Services,QV,Contractual & Other Services,3070,Professional Services,92471.0,SCHOOL OPERATION AND MANAGEMENT SERVICES,,
108177,2024-11-05,2025,2,EFT-BMS-EY250007407,463542.36,VS97685,"All City Management Services, Inc.",90084,GNFD,General Fund,MSH,City Marshal's Office,3065,Security Services,QV,Contractual & Other Services,3070,Professional Services,92471.0,SCHOOL OPERATION AND MANAGEMENT SERVICES,,
108815,2024-11-07,2025,2,AD-BMS-AY250002119,449063.6,VS0000063267,"Rushco Energy Specialists, Inc",76053,CVID,COVID-19,BSD,Building Services,EB01,"City Facility Operations, Maintenance And Repair",RC,Capital Outlay,4599,Other Improvements-other than Building,94155.0,"HVAC SYSTEMS MAINTENANCE AND REPAIR, POWER PLANT",,
109265,2024-11-08,2025,2,AD-BMS-AY250002164,1200000.0,014003,Dallas County,75202,GNFD,General Fund,DPD,Dallas Police Dept,DP01,Police Field Patrols,QV,Contractual & Other Services,3070,Professional Services,91896.0,TRANSPORTATION CONSULTING,,
109331,2024-11-08,2025,2,EFT-BMS-EY250008424,577468.77,345379,Omega Contracting Llc,75212,WTRC,Water Capital Program,DWU,Water Utilities,REEQ,Rehabilitation And Equipment,QV,Contractual & Other Services,3210,Repair&Maint Ser Bldg Etc,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
109333,2024-11-08,2025,2,EFT-BMS-EY250008425,520414.56,345379,Omega Contracting Llc,75212,SWRC,Sewer Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4560,Sanitary Sewers,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
109334,2024-11-08,2025,2,EFT-BMS-EY250008426,503282.68,345379,Omega Contracting Llc,75212,OTGO,Other GO CIP - Non-Debt,SDM,Stormwater Drainage Management,SD01,Storm Water Drainage Management,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
109353,2024-11-08,2025,2,EFT-BMS-EY250008445,658069.0,506724,Holt Texas Ltd,75265,SANC,Sanitation Capital Program,SAN,Sanitation Svcs,SS03,Landfill Management,RC,Capital Outlay,4740,Motor Vehicles Cap,54500.0,"MACHINERY AND HARDWARE, INDUSTRIAL",,
109399,2024-11-08,2025,2,EFT-BMS-EY250008496,498885.12,VC29641,Looks Great Services Of Ms Inc,75224,EFOP,Enterprise Operating Fund,SAN,Sanitation Svcs,,Miscellaneous,QV,Contractual & Other Services,3072,Contractor Service Fees,91027.0,"GARBAGE/TRASH REMOVAL, DISPOSAL AND/OR TREATMENT",,
109642,2024-11-12,2025,2,AD-BMS-AY250002182,666407.68,268653,"At&T Enterprises, Llc",60197,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS05,Internal Voice And Data Communication Network,QV,Contractual & Other Services,3053,Data Circuit Billing,91577.0,"TELEPHONE SERVICES, LONG DISTANCE AND LOCAL (INCLUDING TELEX",,
109643,2024-11-12,2025,2,AD-BMS-AY250002182,587265.98,268653,"At&T Enterprises, Llc",60197,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS05,Internal Voice And Data Communication Network,QV,Contractual & Other Services,3441,IT Managed Services,91800.0,CONSULTING SERVICES,,
109657,2024-11-12,2025,2,AD-BMS-AY250002195,565478.0,VC18446,Independence Title Company,75208,WTRC,Water Capital Program,DWU,Water Utilities,RELP,Relocations In Advance Of Paving,RC,Capital Outlay,4250,Easements Licensing Agree,97135.0,"LAND, RENTAL OR LEASE",,
109688,2024-11-12,2025,2,EFT-BMS-EY250008703,19624942.89,020318,Texas Department Of Transportation,78714,CCTC,Convention Center Capital Program,CCT,Convention And Event Services,CCIM,Convention Center Improvements,RC,Capital Outlay,4599,Other Improvements-other than Building,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
109698,2024-11-12,2025,2,EFT-BMS-EY250008713,1103752.0,068563,Trinity River Authority Of Tx,76004,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW04,Wastewater Treatment,QV,Contractual & Other Services,3083,Ww Treatment- Tra,,NONE,,
109714,2024-11-12,2025,2,EFT-BMS-EY250008728,380713.24,144735,"Camino Construction, L.P. ^",75057,BP17,2017 General Obligation Bond Program,PBW,Public Works & Transporation,SREC,Street Reconstruction,RC,Capital Outlay,4510,Strts Roadwys Hiwy Alleys,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
109800,2024-11-12,2025,2,EFT-BMS-EY250008816,460844.55,517577,Housing Forward,75204,CVID,COVID-19,MGT,Management Services,EH54,Comprehensive Homeless Outreach,QV,Contractual & Other Services,3070,Professional Services,95255.0,HOMELESSNESS PREVENTION SERVICES,,
109850,2024-11-12,2025,2,EFT-BMS-EY250008865,2524334.65,VC26041,"Tegrity Contractors, Inc.",75013,WTRC,Water Capital Program,DWU,Water Utilities,SCOR,"Service Centers, Offices And Research Facilities",RC,Capital Outlay,4310,Buildings,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
109862,2024-11-12,2025,2,EFT-BMS-EY250008877,441489.17,VC28899,Sabine River Authority Of Texas,77632,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW01,Water Treatment,QM,Supplies & Materials,2420,Other Structures,,NONE,,
109866,2024-11-12,2025,2,EFT-BMS-EY250008882,533384.95,VS0000006690,Delta Dental Insurance Company,94120,INSV,Internal Service Fund,PER,Human Resources,BE15,"Fiscal Management And Administration:  Voluntary Benefits, L",QV,Contractual & Other Services,355C,Voluntary Pmts Employee Dental,,NONE,,
109875,2024-11-12,2025,2,EFT-BMS-EY250008889,1294700.0,VS0000023852,"Mythics, Llc",23462,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS21,Internal Application Services,QV,Contractual & Other Services,3438,Software Maint Fee,92045.0,SOFTWARE MAINTENANCE/SUPPORT,,
109878,2024-11-12,2025,2,EFT-BMS-EY250008890,576358.41,VS0000024410,Standard Insurance Company,97208,INSV,Internal Service Fund,PER,Human Resources,BE15,"Fiscal Management And Administration:  Voluntary Benefits, L",QV,Contractual & Other Services,3552,"Pymts To Voluntary Benefits, dental, Vision Service Plan",,NONE,,
109900,2024-11-12,2025,2,EFT-BMS-EY250008908,821488.25,VS0000051554,"Rogers-O'Brien Construction Company, Llc",75235,OTGO,Other GO CIP - Non-Debt,PKR,Park & Recreation,DZOO,Dallas Zoo,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
109935,2024-11-12,2025,2,EFT-BMS-EY250008943,480000.0,VS0000067969,"Netsync Network Solutions, Inc.",75063,FDGT,Federal Grant (non Consolidated Plan),MGT,Management Services,TFFN,TFFN,QV,Contractual & Other Services,3099,Misc Special Services,95635.0,INTERNET DATABASE SUBSCRIPTIONS,,
110018,2024-11-12,2025,2,EFT-BMS-EY250009017,405000.0,VS89073,Origami Risk Llc,60654,OTHO,Other Operating Fund,ORM,Risk Management,RM01,Risk Management Services,QV,Contractual & Other Services,3070,Professional Services,95861.0,INSURANCE AND RISK MANAGEMENT SERVICES,,
110349,2024-11-13,2025,2,EFT-BMS-EY250009282,1540000.0,VS87197,Town Square Title Company Llc,75088,BP98,1998 General Obligation Bond Program,SDM,Stormwater Drainage Management,TRPP,Relocation Prop,RC,Capital Outlay,4210,Property Purchase Price,57863.0,REAL ESTATE: LAND AND IMPROVEMENTS,,
110351,2024-11-13,2025,2,EFT-BMS-EY250009283,3699754.0,VS87328,"Akard Owner, Llc",70112,OTGO,Other GO CIP - Non-Debt,ECO,Office Of Economic Development,DTTI,Downtown Tax Increment Financing District,QV,Contractual & Other Services,3016,Economic Development Grant,96100.0,"MISCELLANEOUS SERVICES, NO. 1",,
110352,2024-11-13,2025,2,EFT-BMS-EY250009283,367482.77,VS87328,"Akard Owner, Llc",70112,OTGO,Other GO CIP - Non-Debt,ECO,Office Of Economic Development,DTTI,Downtown Tax Increment Financing District,RC,Capital Outlay,4111,Engineering Design,96100.0,"MISCELLANEOUS SERVICES, NO. 1",,
110367,2024-11-13,2025,2,EFT-BMS-EY250009298,1323643.37,VS96112,"Flatiron Constructors, Inc.",75038,AVIC,Aviation Capital Program,AVI,Aviation,PVMT,Pavement Maintenance / Construction,RC,Capital Outlay,4599,Other Improvements-other than Building,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
110368,2024-11-13,2025,2,EFT-BMS-EY250009298,3970930.13,VS96112,"Flatiron Constructors, Inc.",75038,FDGT,Federal Grant (non Consolidated Plan),AVI,Aviation,PVMT,Pavement Maintenance / Construction,RC,Capital Outlay,4599,Other Improvements-other than Building,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
110621,2024-11-14,2025,2,AD-BMS-AY250002317,1080052.57,VC25432,"Cypress Creek Montfort Drive, Lp",75248,CNPL,Consolidated Plan Funds,HOU,Housing/Community Services,HO94,Support For Housing Development Programs,QV,Contractual & Other Services,3015,Development Loans,92561.0,LAND DEVELOPMENT AND PLANNING/ENGINEERING,,
110690,2024-11-14,2025,2,EFT-BMS-EY250009553,323701.1,243551,Rebcon Llc,76011,WTRC,Water Capital Program,DWU,Water Utilities,WTPF,Water Treatment Plants And Associated Facilities,RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
110691,2024-11-14,2025,2,EFT-BMS-EY250009553,439224.42,243551,Rebcon Llc,76011,OTDB,Other GO CIP  - Debt,PBW,Public Works & Transporation,THRF,Thoroughfares,RC,Capital Outlay,4510,Strts Roadwys Hiwy Alleys,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
110692,2024-11-14,2025,2,EFT-BMS-EY250009554,500068.6,243551,Rebcon Llc,76011,WTRC,Water Capital Program,DWU,Water Utilities,WTPF,Water Treatment Plants And Associated Facilities,RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
110693,2024-11-14,2025,2,EFT-BMS-EY250009554,1869342.25,243551,Rebcon Llc,76011,OTDB,Other GO CIP  - Debt,PBW,Public Works & Transporation,THRF,Thoroughfares,RC,Capital Outlay,4510,Strts Roadwys Hiwy Alleys,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
110739,2024-11-14,2025,2,EFT-BMS-EY250009600,357074.45,VC21437,Douglas Dailey Construction Llc,75125,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
110742,2024-11-14,2025,2,EFT-BMS-EY250009602,2607100.0,VC22876,Kay Bailey Hutchison Convention Center,75202,EFOP,Enterprise Operating Fund,CCT,Convention And Event Services,CE01,Dallas Convention Center,QV,Contractual & Other Services,3072,Contractor Service Fees,95800.0,MANAGEMENT SERVICES,,
110812,2024-11-14,2025,2,EFT-BMS-EY250009673,621500.0,VS0000040647,Twincrest Inc.,76063,GNFD,General Fund,INV,Inventory Purchase,INV1,Inventory,QM,Supplies & Materials,2998,Inventory Purchase,55091.0,VEHICLE DETECTORS,,
111569,2024-11-18,2025,2,AD-BMS-AY250002446,2910740.0,VS0000056076,Stewart Title Company,75248,OTPK,Other Park Recreation,PKR,Park & Recreation,PKLA,Park Land Acquisition,RC,Capital Outlay,4210,Property Purchase Price,57863.0,REAL ESTATE: LAND AND IMPROVEMENTS,,
111572,2024-11-18,2025,2,AD-BMS-AY250002446,1000000.0,VS0000056076,Stewart Title Company,75248,GNFD,General Fund,PKR,Park & Recreation,PKLA,Park Land Acquisition,RC,Capital Outlay,4210,Property Purchase Price,57863.0,REAL ESTATE: LAND AND IMPROVEMENTS,,
111606,2024-11-18,2025,2,EFT-BMS-EY250010334,999347.93,011466,Tiseo Paving Co,75150,BP17,2017 General Obligation Bond Program,PBW,Public Works & Transporation,THRF,Thoroughfares,RC,Capital Outlay,4510,Strts Roadwys Hiwy Alleys,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
111692,2024-11-18,2025,2,EFT-BMS-EY250010416,778231.47,970352,Sabine River Authority Of Tx,75472,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW01,Water Treatment,QM,Supplies & Materials,2420,Other Structures,,NONE,,
111722,2024-11-18,2025,2,EFT-BMS-EY250010444,402281.69,VC22918,Dallas Convention Center Hotel Development Corporation,75202,EFOP,Enterprise Operating Fund,CCT,Convention And Event Services,CE01,Dallas Convention Center,QV,Contractual & Other Services,3019,Section 380 Grant Expense,,NONE,,
111747,2024-11-18,2025,2,EFT-BMS-EY250010468,345149.07,VC28405,Estrada Concrete Company Llc,75141,BP17,2017 General Obligation Bond Program,PBW,Public Works & Transporation,SREC,Street Reconstruction,RC,Capital Outlay,4510,Strts Roadwys Hiwy Alleys,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
111934,2024-11-18,2025,2,EFT-BMS-EY250010649,1344027.26,VS96112,"Flatiron Constructors, Inc.",75038,AVIC,Aviation Capital Program,AVI,Aviation,PVMT,Pavement Maintenance / Construction,RC,Capital Outlay,4599,Other Improvements-other than Building,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
111935,2024-11-18,2025,2,EFT-BMS-EY250010649,4032081.8,VS96112,"Flatiron Constructors, Inc.",75038,FDGT,Federal Grant (non Consolidated Plan),AVI,Aviation,PVMT,Pavement Maintenance / Construction,RC,Capital Outlay,4599,Other Improvements-other than Building,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
111941,2024-11-18,2025,2,EFT-BMS-EY250010656,327925.6,VS97685,"All City Management Services, Inc.",90084,GNFD,General Fund,MSH,City Marshal's Office,3065,Security Services,QV,Contractual & Other Services,3070,Professional Services,92471.0,SCHOOL OPERATION AND MANAGEMENT SERVICES,,
112187,2024-11-19,2025,2,EFT-BMS-EY250010830,349895.45,144735,"Camino Construction, L.P. ^",75057,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4560,Sanitary Sewers,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
112188,2024-11-19,2025,2,EFT-BMS-EY250010830,716986.55,144735,"Camino Construction, L.P. ^",75057,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
112261,2024-11-19,2025,2,EFT-BMS-EY250010902,928475.18,507202,"Syb Construction Co., Inc. ^",75061,CVID,COVID-19,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4560,Sanitary Sewers,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
112269,2024-11-19,2025,2,EFT-BMS-EY250010908,358857.42,516612,Deloitte Consulting Llp,22209,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS21,Internal Application Services,QV,Contractual & Other Services,3441,IT Managed Services,91800.0,CONSULTING SERVICES,,
112612,2024-11-19,2025,2,EFT-BMS-EY250011249,2201150.0,VS0000056543,Southland Contracting Inc.,76051,WTRC,Water Capital Program,DWU,Water Utilities,WTRS,Water Supply Reservoirs And Dams,RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
112793,2024-11-20,2025,2,EFT-BMS-EY250011389,1986885.0,VC19221,Fair Park First,75210,GNFD,General Fund,PKR,Park & Recreation,PK04,Fair Park Management And Promotion,QV,Contractual & Other Services,3072,Contractor Service Fees,95800.0,MANAGEMENT SERVICES,,
112794,2024-11-20,2025,2,EFT-BMS-EY250011390,437500.0,VC19221,Fair Park First,75210,OTGO,Other GO CIP - Non-Debt,PKR,Park & Recreation,PK04,Fair Park Management And Promotion,QV,Contractual & Other Services,3899,Other Misc.Exp. & Reimbursement,95800.0,MANAGEMENT SERVICES,,
112813,2024-11-20,2025,2,EFT-BMS-EY250011409,536431.54,VC25188,"Doggett Freightliner Of South Texas, Llc",77267,OTGO,Other GO CIP - Non-Debt,SDM,Stormwater Drainage Management,DFRG,Dallas Floodway Rec Gehan,RC,Capital Outlay,4740,Motor Vehicles Cap,97514.0,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENC,,
112814,2024-11-20,2025,2,EFT-BMS-EY250011410,551433.87,VC25188,"Doggett Freightliner Of South Texas, Llc",77267,OTGO,Other GO CIP - Non-Debt,SDM,Stormwater Drainage Management,DW32,Dallas Floodway Rec Gehan,RC,Capital Outlay,4742,Trucks,97514.0,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENC,,
112834,2024-11-20,2025,2,EFT-BMS-EY250011427,2472950.87,VC28405,Estrada Concrete Company Llc,75141,OTTN,Other Transportation Capital,PBW,Public Works & Transporation,THRG,Participation With Other Government Agencies - Thoroughfares,RC,Capital Outlay,4510,Strts Roadwys Hiwy Alleys,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
112836,2024-11-20,2025,2,EFT-BMS-EY250011429,878168.45,VC28897,Sabine River Authority Of Texas,77632,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW01,Water Treatment,QM,Supplies & Materials,2420,Other Structures,,NONE,,
113041,2024-11-20,2025,2,EFT-BMS-EY250011634,770401.71,VS0000082137,"Landmark Structures I, L.P.",76177,WTRC,Water Capital Program,DWU,Water Utilities,REEQ,Rehabilitation And Equipment,RC,Capital Outlay,4720,Mach Tools Implem  Major,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
113044,2024-11-20,2025,2,EFT-BMS-EY250011637,751580.01,VS100981,"Crescent Constructors, Inc.",75074,SWRC,Sewer Capital Program,DWU,Water Utilities,WWTP,Wastewater Treatment Plants And Associated Facilities,RC,Capital Outlay,4330,Sewage Disposal Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
113050,2024-11-20,2025,2,EFT-BMS-EY250011640,574687.6,VS89922,"Vescorp Construction, Llc",75180,OTDB,Other GO CIP  - Debt,PBW,Public Works & Transporation,PB40,PBW Capital Program Implementation,RC,Capital Outlay,4530,Sidewlks Curbs Steps Gutr,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
113104,2024-11-20,2025,2,EFT-BMS-EY250011678,409071.0,VC28399,"Mcgriff Insurance Services, Llc",28202,INSV,Internal Service Fund,ORM,Risk Management,RM01,Risk Management Services,QV,Contractual & Other Services,3310,Insurance,95300.0,"INSURANCE, ALL TYPES",,
113150,2024-11-20,2025,2,EFT-BMS-EY250011723,2409488.72,244607,Oscar Renda Contracting Inc,76262,WTRC,Water Capital Program,DWU,Water Utilities,WTPF,Water Treatment Plants And Associated Facilities,RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
113270,2024-11-21,2025,2,EFT-BMS-EY250011792,3579822.72,004204,"Texas Materials Group, Inc.",75062,OTDB,Other GO CIP  - Debt,PBW,Public Works & Transporation,PB51,Street Maintenance Contracts,QV,Contractual & Other Services,3072,Contractor Service Fees,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
113901,2024-11-22,2025,2,EFT-BMS-EY250012353,617964.83,356959,Eagle Contracting Llc,76244,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4310,Buildings,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
